provincia_id,provincia_nombre,departamento_id,departamento_nombre,matricula_estado,trayectoria_estado,caracteristicas_estado,tipo_match,observaciones
02,Ciudad Autónoma de Buenos Aires,02007,Comuna 1,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02014,Comuna 2,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02021,Comuna 3,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02028,Comuna 4,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02035,Comuna 5,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02042,Comuna 6,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02049,Comuna 7,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02056,Comuna 8,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02063,Comuna 9,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02070,Comuna 10,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02077,Comuna 11,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02084,Comuna 12,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02091,Comuna 13,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02098,Comuna 14,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
02,Ciudad Autónoma de Buenos Aires,02105,Comuna 15,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06007,Adolfo Alsina,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06014,Adolfo Gonzales Chaves,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06021,Alberti,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06028,Almirante Brown,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06035,Avellaneda,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06042,Ayacucho,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06049,Azul,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06056,Bahía Blanca,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06063,Balcarce,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06070,Baradero,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06077,Arrecifes,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06084,Benito Juárez,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06091,Berazategui,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06098,Berisso,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
06,Buenos Aires,06105,Bolívar,directo,directo,directo,directo,Nombre RA correspondiente por normalización determinística.
