anio,dataset,variable_origen,variable_estandar,descripcion,unidad,comparable,nivel_comparabilidad,motivo,observaciones
2011,caracteristicas,localizacion,localizaciones,Cantidad de localizaciones educativas,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,caracteristicas,bibliotecadisponedealmenosunasi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,bibliotecafuncionaesespacioexclusivosi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,cooperadoraconpersoneriajuridica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,cooperadorano,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,cooperadorasinpersoneriajuridica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,disponedesalaolaboratoriodeinformaticasi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadgeneradoreolico,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadgeneradorhidraulico,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadgrupoelectrogeno,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadotro,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadpanelfotovoltaicosolar,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadredpublica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,electricidadsi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecaequipamientobibliotecawebcam,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecaequipoemisorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
