anio,dataset,nombre_original,url_oficial,archivo_local,fecha_descarga,sha256,filas,columnas,granularidad,sectores_publicados,ambitos_publicados,identificador_territorial_fuente,filas_enmascarado,filas_sin_datos,diccionario,url_diccionario
2011,caracteristicas,2011 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EUGl-SCcpGxHiF2LbFU_XPcBzcdIie0h_f5stWVPJ5mnCQ?e=NtA7VR,data/raw/ra_historico/2011/caracteristicas.csv,2026-09-12,22c67719040b3c2303dc69d8a0ca9000bfeff1d466dce9038a81edb2174ca887,1191,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,72,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2011,matricula,2011 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EdPaXXgsuIZPlylrtSEGXD4Bzp9d0YxtsuONWryRiv-2Hg?e=3tPyOy,data/raw/ra_historico/2011/matricula.csv,2026-09-12,74c31d376551d8d4300b58bcd5a0edc160b2e4216600f7f6468cdc4b8257026f,1191,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,72,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2011,trayectoria,2011 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/Edlm1ae4XrhLr3y1xI2B5EIBmNAE6_ekkNO-69JIhhCwIg?e=VDfcSs,data/raw/ra_historico/2011/trayectoria.csv,2026-09-12,ceee53b0a724bdcf51fb291a0c0af39d35141e0fe9fbf0884634098d33dec913,1192,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,72,1,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2012,caracteristicas,2012 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EedHG9nLOjRDoIIPNx185lIBs3jUWPxw5kfZqhAc18Z7yQ?e=ynX6uM,data/raw/ra_historico/2012/caracteristicas.csv,2026-09-12,bb4b642e68ed630d4acd388450c5b65f3335aae8771e60ea0e1c254140d0c926,1193,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,65,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2012,matricula,2012 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EYeezl2NWTVGqcJJdMmcPEkBvy4yIj85S_tRQS-yukw1pg?e=3Ooa2a,data/raw/ra_historico/2012/matricula.csv,2026-09-12,663faa70114b8bdd84813e6e47ccbec4a162bfb0086945c07b1a39ddca217eb7,1193,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,65,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2012,trayectoria,2012 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EZR0Fn0_FWJIkq3-4VnE9zIBAk-d8XfpXkIMDGELUMhfZA?e=EnQdoc,data/raw/ra_historico/2012/trayectoria.csv,2026-09-12,8780c271325a49df71e476d9e570e89d6be17a1e32ea960f0a73ffed0bbb05b0,1191,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,64,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2013,caracteristicas,2013 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EV_N3dbQqYRHjjMS891pLwoBSWxb3IV5Xx67PBc70KlK8g?e=5wVpbg,data/raw/ra_historico/2013/caracteristicas.csv,2026-09-12,dac37e8db8422cdeb7db2914ff65421a1ed9589c09548143de2a8e19192b13b1,1190,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,73,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2013,matricula,2013 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EZIoaAfQwWRAidoqHxlm2psBFcHcORAAmFIHFvtGdZpXLw?e=RJEvXm,data/raw/ra_historico/2013/matricula.csv,2026-09-12,6a970434bd3a337571ffaedabcb32be6fa37301d6930c91c85b0ea71aa2b8df6,1190,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,71,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2013,trayectoria,2013 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETmY_AtWz75Fn6aCA2v-G-QB-QT0uA51fX15u1UjiB8a3w?e=4AyDeJ,data/raw/ra_historico/2013/trayectoria.csv,2026-09-12,7459627350c1fe467aac0a7d1ccc9415304aed4ef07e87f7f6286922745cc33d,1183,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,70,3,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2014,caracteristicas,2014 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EWPuwp8anMVOvNloL3QWcB8BLdMxFBc_5lV5twe9iqm0vA?e=AKFiW5,data/raw/ra_historico/2014/caracteristicas.csv,2026-09-12,3fb41fc80aa3ba189cfe959bfcc7f02e95b7b5ca038bebc37c6a426df44054ca,1192,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2014,matricula,2014 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EXfcJeB9heFPgolUvAP-fZkBNpoAPnpWCsNwVI_6oSoYmg?e=6LWjfP,data/raw/ra_historico/2014/matricula.csv,2026-09-12,1193d3cff18b66a535e15a8550031f688a94d859889f9ba692a4a4dae6519f65,1192,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2014,trayectoria,2014 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ER1mpYefFNJIl7_zTx6SsgABxO2uiGGCMyoA-XUF37g09Q?e=3FemOp,data/raw/ra_historico/2014/trayectoria.csv,2026-09-12,0a8540a7330b951e59a669f883d7920ffc23852786c41e6d6e221f985853d084,1183,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2015,caracteristicas,2015 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EcPQ2gY3z4lDvdJyhUT5LAgBBXXdRVZyCfe5VR4X-6-HMg?e=JoOVGH,data/raw/ra_historico/2015/caracteristicas.csv,2026-09-12,83d3928ad2d2786c8090f9d0c9a6c34b50e4e0c063b8122cad6d2daa7218d65f,1193,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2015,matricula,2015 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/Eao7n6eVbJhDh8MjzmS5n7UBWxqKckcTbj2mCGxOHcCVAQ?e=YS8jEP,data/raw/ra_historico/2015/matricula.csv,2026-09-12,69e3339be2a468b2101cd6f55e991e37424405a77e65dfbbba61b1483fc5f08c,1193,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2015,trayectoria,2015 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EadV5hUa_JtIiDb7ay2keOgBhKjo2HDpqSFPv0BEGS2TnQ?e=sq3EaE,data/raw/ra_historico/2015/trayectoria.csv,2026-09-12,ccc067c6975afff0e36c54b186691206588dbbed96ea5fe72d7c39e16c272ae7,1185,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2016,caracteristicas,2016 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETr96zQPLvNIihuoqn3zgUABUzBAHEJZhMwHV1cCQZMR6w?e=y7miW2,data/raw/ra_historico/2016/caracteristicas.csv,2026-09-12,b7659eb7eeb41003bf1536d0b171f30d021c04b5555fddc86e96012fbdbda24a,1197,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2016,matricula,2016 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EcQUZgDXOuFMlySj5WIN_0kBW9woqbR4Ayv263XBSZ0Ykw?e=WCCu21,data/raw/ra_historico/2016/matricula.csv,2026-09-12,c493c1cbf9f6206c031001535de6a701702bbef48d23ba7a488575f0fa01581f,1197,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2016,trayectoria,2016 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EchF1T6oxOhDqLJi1OiG644B8Vn-hAkXFbXGt9LNSb-kbg?e=SlEgeU,data/raw/ra_historico/2016/trayectoria.csv,2026-09-12,1e55806d02a649048a4b2e4f0ca85d053ef749eb0329b896be9d04b1f6e87b95,1189,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2017,caracteristicas,2017 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ERLKU9M9SExFu8DUWvVoKAIBRkpQhh6QndqnQlovCwfq3Q?e=bed6FH,data/raw/ra_historico/2017/caracteristicas.csv,2026-09-12,4b456616f2467b17e392917eb17212ce2bdfb49ff13eba4e06bc9cbdfaa00b11,1196,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2017,matricula,2017 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EStVPagmVZxEs0zNzl8p6SUBtEeTSLrPKmlAg4o5zhVTCw?e=Ysct8h,data/raw/ra_historico/2017/matricula.csv,2026-09-12,93f4537f70a953588c49c1fd6d3eecfe54ef618f0e5a3499d1c1332c2cf55344,1196,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2017,trayectoria,2017 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EWmtnfySnvpKtiAmrgm0CZQBwNzztR6Rg-z8dtc8gk80oQ?e=zLfegc,data/raw/ra_historico/2017/trayectoria.csv,2026-09-12,3890bb3ee88d5ff0d1d20bbc20c44e25838be8541db9201e3637095affe790b5,1185,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,64,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2018,caracteristicas,2018 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EaVSwLOKtTZDlciTXjbO16wBL0dULYTmWaG2bxEk-kU66g?e=XQMjaa,data/raw/ra_historico/2018/caracteristicas.csv,2026-09-12,182f709892db04c799292aa3c9319e1958510340b22f75867db156fe4d75f49e,1200,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2018,matricula,2018 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EbHmExT6G_BBhZbCyN5VgeEB7PzvN8TYJ1PDpIu6itH1kQ?e=Q4W9SV,data/raw/ra_historico/2018/matricula.csv,2026-09-12,e7b55a87fb193a33de5b2457650842756a5148aa0f3e1961be271a26cca0291c,1200,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2018,trayectoria,2018 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EcDSXdE9wnZJmggiHVV7zyYBP2EIt1eojSB2qTbOLFioCA?e=H5b4vi,data/raw/ra_historico/2018/trayectoria.csv,2026-09-12,96c440c5a8a45f560c0607be2d98c0db5fd06daed24b149c129a5c95202e1f99,1190,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2019,caracteristicas,2019 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EZ0LA7Uovi9BpC-rtgGmm0YBuyg52WfiGaujTZ3DsviGpQ?e=8z7KSX,data/raw/ra_historico/2019/caracteristicas.csv,2026-09-12,131d1fe2cbd78ca1daef815d59f59fd50881802ad2d358c619cd4751f90d9f09,1202,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
