anio,nivel,grado_anio,area,censal_muestral,universo,unidad_analisis,unidad_territorial_publicable,ponderador,archivo_disponible,diccionario,metodologia,observaciones
2016,Primaria,6.º grado,"Lengua; Matemática; Ciencias Sociales; Ciencias Naturales",por verificar,estudiantes de 6.º grado,estudiante,por verificar,presente en bases muestrales,sí,sí,sí,"No se incorpora al corte analítico; diseño y comparabilidad requieren auditoría específica."
2016,Secundaria,5.º/6.º año,"Lengua; Matemática",por verificar,estudiantes del último año,estudiante,por verificar,presente en bases muestrales,sí,sí,sí,"No se incorpora al corte analítico."
2017,Primaria,6.º grado,"Ciencias Sociales; Ciencias Naturales",censal,estudiantes de 6.º grado,estudiante,por verificar,no corresponde al censo,sí,sí,sí,"Áreas distintas de los cortes recientes de Lengua y Matemática."
2017,Secundaria,5.º/6.º año,"Lengua; Matemática",censal,estudiantes del último año,estudiante,por verificar,no corresponde al censo,sí,sí,sí,"No se fuerza serie temporal."
2018,Primaria,6.º grado,"Lengua; Matemática",censal,estudiantes de 6.º grado,estudiante,por verificar,no corresponde al censo,sí,sí,sí,"No se fuerza serie temporal."
2019,Secundaria,5.º/6.º año,"Lengua; Matemática",censal con muestra complementaria,estudiantes del último año,estudiante,por verificar,sí para muestra complementaria,sí,sí,sí,"Pandemia posterior y cambios de publicación desaconsejan una unión automática."
2021,Primaria,6.º grado,"Lengua; Matemática",censal,estudiantes de 6.º grado,estudiante,por verificar,no corresponde al censo,sí,sí,sí,"Operativo posterior a la interrupción de presencialidad; interpretar por separado."
2022,Primaria,6.º grado,"Lengua; Matemática",muestral,estudiantes de 6.º grado,estudiante,jurisdicción,sí,sí,sí,sí,"Las estimaciones requieren ponderador y no se consideran robustas por departamento sin diseño publicado para ese dominio."
2022,Secundaria,5.º/6.º año,"Lengua; Matemática",censal,estudiantes del último año,estudiante,por verificar,no corresponde al censo,sí,sí,sí,"No seleccionado: menor actualidad que 2024."
2023,Primaria,6.º grado,"Lengua; Matemática",censal,estudiantes de 6.º grado,estudiante,departamento en base agregada,no corresponde al censo,sí,sí,sí,"Mejor corte público reciente para primaria a nivel departamental; queda fuera del primer dataset para no mezclar niveles/años."
2024,Primaria,3.º grado,Lengua,muestral,"estudiantes de 3.º grado; 4.178 escuelas y 91.042 estudiantes",estudiante,jurisdicción,sí,sí,sí,sí,"Sobremuestreo y no respuesta corregidos con ponderadores; no forzar departamento."
2024,Secundaria,5.º/6.º año,"Lengua; Matemática",censal,"último año; 11.846 escuelas y 379.050 estudiantes",estudiante,"departamento en base agregada; jurisdicción en informes",conteos agregados ponderados,sí,sí,sí,"Corte seleccionado. Participación: 96,6% de escuelas y 70,2% de estudiantes."
2025,Primaria,6.º grado,"Lengua; Matemática",censal,por verificar,estudiante,departamento en base agregada,conteos agregados ponderados,sí,sí,por verificar,"Disponible en catálogo oficial consultado en 2026; no seleccionado porque su metodología completa debe auditarse."
