anio,provincia,nombre_ra,nombre_georef,departamento_id,tipo_equivalencia,estado,evidencia,observaciones
2011,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2011,Chaco,1Â§ DE MAYO,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,I,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,II,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,III,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,IV,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,IX,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,V,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,VI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,VII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,VIII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,X,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XIII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XIV,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XIX,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XV,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XVI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XVII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XVIII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XX,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Ciudad de Buenos Aires,XXI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2011,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2011,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2011,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2011,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2011,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2011,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2011,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
