variable_estandar,variable_oficial,descripcion,universo,numerador,denominador,unidad,anio,fuente,granularidad,calidad_definicion,incorporada,limitaciones
porcentaje_hogares_internet,Tenencia de internet en la vivienda,"Hogares con conexión fija/alámbrica o punto de acceso inalámbrico; no incluye abonos exclusivos de teléfonos móviles",Hogares censados excepto personas en situación de calle,Hogares con internet en la vivienda,Total de hogares,porcentaje,2022,Censo 2022 INDEC cuadro hogares 7,departamento/partido/comuna,Alta,sí,"Disponibilidad declarada; no mide calidad, velocidad ni uso"
porcentaje_hogares_computadora,Tenencia de computadora tablet etcétera,"Hogares con al menos un equipo para almacenamiento y procesamiento de información",Hogares censados excepto personas en situación de calle,Hogares con computadora o tablet,Total de hogares,porcentaje,2022,Censo 2022 INDEC cuadro hogares 7,departamento/partido/comuna,Alta,sí,"No mide cantidad, uso ni disponibilidad individual"
porcentaje_hogares_agua_red_publica,Procedencia del agua - red pública,"Hogares cuya procedencia del agua es la red pública",Hogares censados excepto personas en situación de calle,Hogares con agua de red pública,Total de hogares,porcentaje,2022,Censo 2022 INDEC cuadro hogares 2,departamento/partido/comuna,Alta,sí,"No mide continuidad ni calidad del servicio"
porcentaje_hogares_cloaca,Desagüe a red pública cloaca,"Hogares cuyo inodoro desagua a red pública",Hogares censados excepto personas en situación de calle,Hogares con desagüe a red pública,Total de hogares,porcentaje,2022,Censo 2022 INDEC cuadro hogares 3,departamento/partido/comuna,Alta,sí,"Declaración censal; INDEC recomienda cautela en universos pequeños"
porcentaje_viviendas_rancho_casilla,Tipo de vivienda particular rancho o casilla,"Viviendas particulares ocupadas clasificadas como rancho o casilla",Viviendas particulares ocupadas,Ranchos más casillas,Viviendas particulares ocupadas,porcentaje,2022,Censo 2022 INDEC cuadro vivienda 3,departamento/partido/comuna,Alta,sí,"No equivale a NBI vivienda; el universo son viviendas y no hogares"
porcentaje_asistencia_4_5,Condición de asistencia escolar,"Población de 4 a 5 años en viviendas particulares que asiste a un establecimiento educativo",Personas de 4 a 5 años en viviendas particulares,Población del grupo que asiste,Total del grupo en viviendas particulares,porcentaje,2022,Censo 2022 INDEC cuadro educación 1,departamento/partido/comuna,Alta,sí,"Asistencia por residencia; no identifica nivel ni establecimiento"
porcentaje_asistencia_6_11,Condición de asistencia escolar,"Población de 6 a 11 años en viviendas particulares que asiste a un establecimiento educativo",Personas de 6 a 11 años en viviendas particulares,Población del grupo que asiste,Total del grupo en viviendas particulares,porcentaje,2022,Censo 2022 INDEC cuadro educación 1,departamento/partido/comuna,Alta,sí,"No asistir incluye no asiste pero asistió y nunca asistió"
porcentaje_asistencia_12_14,Condición de asistencia escolar,"Población de 12 a 14 años en viviendas particulares que asiste a un establecimiento educativo",Personas de 12 a 14 años en viviendas particulares,Población del grupo que asiste,Total del grupo en viviendas particulares,porcentaje,2022,Censo 2022 INDEC cuadro educación 1,departamento/partido/comuna,Alta,sí,"No identifica nivel educativo cursado"
porcentaje_asistencia_15_17,Condición de asistencia escolar,"Población de 15 a 17 años en viviendas particulares que asiste a un establecimiento educativo",Personas de 15 a 17 años en viviendas particulares,Población del grupo que asiste,Total del grupo en viviendas particulares,porcentaje,2022,Censo 2022 INDEC cuadro educación 1,departamento/partido/comuna,Alta,sí,"No asistir no equivale automáticamente a abandono"
porcentaje_hogares_nbi,Necesidades básicas insatisfechas NBI_TOT,"Hogares con al menos una de cinco privaciones: hacinamiento vivienda saneamiento escolaridad o capacidad de subsistencia",Hogares,Hogares con al menos una NBI,Total de hogares,porcentaje,2022,Censo 2022 REDATAM,consultable hasta radio,Alta,no,"Definición validada; excluida por falta de extracción departamental estática reproducible"
porcentaje_hacinamiento_critico,NBI Hacinamiento NBI_HAC,"Hogares con más de tres personas por cuarto",Hogares,Hogares con más de tres personas por cuarto,Total de hogares,porcentaje,2022,Censo 2022 REDATAM,consultable hasta radio,Alta,no,"Excluida por falta de extracción departamental estática reproducible"
