variable,dimension,descripcion,fuente,anio,unidad,universo,tipo,comparabilidad,direccion_interpretativa,cobertura,advertencia
provincia_id,Territorio,provincia id,GeoRef Argentina,consulta vigente,identificador o nombre,departamento o equivalente,identificador,segun fuente,descriptivo,529,Clave territorial es interna cuando corresponda; los IDs GeoRef se preservan como texto.
provincia_nombre,Territorio,provincia nombre,GeoRef Argentina,consulta vigente,identificador o nombre,departamento o equivalente,identificador,segun fuente,descriptivo,529,Clave territorial es interna cuando corresponda; los IDs GeoRef se preservan como texto.
departamento_id,Territorio,departamento id,GeoRef Argentina,consulta vigente,identificador o nombre,departamento o equivalente,identificador,segun fuente,descriptivo,529,Clave territorial es interna cuando corresponda; los IDs GeoRef se preservan como texto.
departamento_nombre,Territorio,departamento nombre,GeoRef Argentina,consulta vigente,identificador o nombre,departamento o equivalente,identificador,segun fuente,descriptivo,529,Clave territorial es interna cuando corresponda; los IDs GeoRef se preservan como texto.
clave_territorial,Territorio,clave territorial,GeoRef Argentina,consulta vigente,identificador o nombre,departamento o equivalente,identificador,segun fuente,descriptivo,529,Clave territorial es interna cuando corresponda; los IDs GeoRef se preservan como texto.
superficie_km2,Territorio,superficie km2,GeoRef / Censo / Padrón,2022,"conteo, km2 o densidad",departamento o equivalente,estructura,segun fuente,descriptivo,529,No usar para score.
poblacion_total,Territorio,poblacion total,GeoRef / Censo / Padrón,2022,"conteo, km2 o densidad",departamento o equivalente,estructura,segun fuente,descriptivo,512,No usar para score.
poblacion_4_17,Territorio,poblacion 4 17,GeoRef / Censo / Padrón,2022,"conteo, km2 o densidad",departamento o equivalente,estructura,segun fuente,descriptivo,526,No usar para score.
densidad_poblacional,Territorio,densidad poblacional,GeoRef / Censo / Padrón,2022,"conteo, km2 o densidad",departamento o equivalente,estructura,segun fuente,descriptivo,512,No usar para score.
localizaciones_total_2022,Oferta,localizaciones total 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,522,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
establecimientos_cue_total_2022,Oferta,establecimientos cue total 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,522,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
establecimientos_cue_primaria_2022,Oferta,establecimientos cue primaria 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,521,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
establecimientos_cue_secundaria_2022,Oferta,establecimientos cue secundaria 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,521,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
relacion_cue_secundaria_primaria_2022,Oferta,relacion cue secundaria primaria 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,520,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
proporcion_cue_rurales_2022,Oferta,proporcion cue rurales 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,522,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
