variable,dataset,tipo,descripcion,unidad,aditiva_o_tasa,nivel_educativo,sector,ambito,posible_dimension_proyecto,observaciones_metodologicas
dataset,matricula,object,Nombre interno de la base,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
anio,matricula,int64,Ano del relevamiento,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
url_origen,matricula,object,URL de origen,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
fecha_descarga,matricula,object,Fecha de descarga,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
sector,matricula,string,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,No usar sustantivamente hasta confirmar la definicion oficial.
ambito,matricula,string,Ambito urbano o rural,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
lactantes,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
deambulantes,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s2,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s3,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s4,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s5,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_1,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_2,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_3,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_4,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_5,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_6,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_7,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_8,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_9,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_10,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_11,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_12,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_1314,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
campo_20,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
snu,matricula,Int64,Matricula total en la categoria indicada por el nombre del campo,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_lactantes,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_deambulantes,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_s2,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_s3,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_s4,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_s5,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_1,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_2,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_3,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_4,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_5,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_6,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_7,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_8,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_9,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_10,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_11,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_12,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_1314,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_20,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
v_snu,matricula,Int64,Matricula de varones en la categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_1,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_2,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_3,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_4,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
