fuente,dataset,organismo,url,anio_desde,anio_hasta,granularidad,variables_principales,formato,estado,observaciones,limitaciones,nivel_prioridad,dimension_proyecto
"Datos abiertos de la Subsecretaría de Información y Evaluación Educativa","Relevamiento Anual (RA)","Subsecretaría de Información y Evaluación Educativa","https://www.argentina.gob.ar/capital-humano/educacion/informacion-y-evaluacion-educativa/datos-abiertos","2011","2025","Unidades educativas; bases abiertas agregadas a nivel departamental","Unidades educativas; matrícula; cargos docentes; modalidades; niveles; servicios","CSV para las bases agregadas verificadas","Fuente oficial verificada; modalidades de acceso diferenciadas","El RA es un censo con datos al 30 de abril. El catálogo departamental consultado publica familias RA entre 2011 y 2025.","Cada archivo representa un año y no debe mezclarse como una misma fotografía temporal. Verificar diccionarios y comparabilidad antes de construir series.","Alta","Acceso;Permanencia;Trayectoria;Equidad"
"Buscador de bases abiertas agregadas por departamento / Escritorio Virtual","Bases abiertas RA por departamento","Subsecretaría de Información y Evaluación Educativa","https://www.argentina.gob.ar/capital-humano/educacion/informacion-y-evaluacion-educativa/datos-abiertos-de-la-subsecretaria-de","2011","2025","Departamento; desagregaciones adicionales según base","Características; cargos; cargos bis; matrícula; matrícula por edad; población; trayectoria","CSV","Disponible mediante buscador; Escritorio Virtual sujeto a solicitud de usuario","El catálogo oficial ofrece ediciones anuales RA y enlaces de descarga; las bases abiertas están agregadas a nivel departamental.","Los CSV inspeccionados no incluyen códigos territoriales y requieren cruce por nombres con GeoRef. Distinguir las bases abiertas del procesamiento de microdatos en entorno seguro.","Alta","Acceso;Permanencia;Trayectoria;Equidad"
"Aprender Secundaria 2024","Bases usuarias para datos abiertos de Aprender Secundaria 2024","Secretaría de Educación; Dirección de Evaluación e Información Educativa","https://www.argentina.gob.ar/educacion/evaluacion-informacion-educativa/aprender/aprender-2024/aprender-secundaria-2024","2024","2024","Estudiantes del último año del nivel secundario de todo el país; operativo censal","Desempeño en Lengua y Matemática; cuestionarios de contexto a estudiantes y equipos directivos","por verificar","Bases de microdatos publicadas; fuente oficial verificada","Aplicación del 24 de octubre de 2024. Incluye gestión estatal y privada y ámbitos rurales y urbanos.","Confirmar estructura de archivos, unidad de cada tabla, identificadores, ponderadores, diccionario y reglas de publicación. No inferir causalidad a partir de asociaciones.","Alta","Aprendizaje;Equidad"
"Aprender Primaria 2024","Bases usuarias para datos abiertos de Aprender Primaria 2024","Secretaría de Educación; Dirección de Evaluación e Información Educativa","https://www.argentina.gob.ar/node/444108","2024","2024","Estudiantes de 3.er grado de Educación Primaria; operativo muestral","Desempeño en Lengua; cuestionarios de contexto a estudiantes, docentes y equipos directivos","por verificar","Bases de microdatos publicadas; fuente oficial verificada","Incluye gestión estatal y privada y ámbitos rurales y urbanos.","Confirmar estructura de archivos, unidad de cada tabla, diseño muestral, ponderadores, identificadores y diccionario. No comparar directamente con operativos censales ni inferir causalidad.","Media","Aprendizaje;Equidad"
"SInIDE - Base Nacional Homologada","Base Nacional Homologada","por verificar","https://www.argentina.gob.ar/educacion/evaluacion-e-informacion-educativa/sistema-integral-de-informacion-digital-educativa-1","por verificar","2025","Estudiante; datos nominales de las 24 provincias en niveles inicial, primario y secundario de educación común","Datos personales; lugar de nacimiento y residencia; escuela; tipo de oferta educativa; año de estudio; promoción; repitencia; abandono","Base nominal; formato por verificar","Referencia conceptual; no es una fuente abierta para la aplicación pública","La página informa una cobertura 2025 del 97% de la matrícula y homologación de sistemas nominales provinciales.","Contiene información nominal y datos personales; acceso restringido a autoridades y equipos técnicos. No utilizar como fuente abierta de la app pública.","Alta","Acceso;Permanencia;Trayectoria;Equidad"
"Plataforma de microdatos por escuela","Microdatos del Relevamiento Anual y Aprender con identificador ficticio por escuela","por verificar","https://www.argentina.gob.ar/node/484719","RA: 2011; Aprender: 2016","actualidad","Escuela; identificador ficticio con trazabilidad entre relevamientos","Datos del Relevamiento Anual desde 2011 y de Aprender desde 2016; variables específicas por verificar","Procesamiento en línea mediante escritorio virtual seguro; herramientas R, Excel y PSPP","Disponible con solicitud de usuario","El Relevamiento Anual está disponible desde 2011 hasta la actualidad y Aprender desde 2016.","No es descarga pública directa; requiere usuario y procesamiento en entorno seguro. Confirmar exportaciones permitidas, diccionarios, cobertura anual y controles de confidencialidad.","Media/Alta","Acceso;Permanencia;Trayectoria;Aprendizaje;Equidad"
"Padrón Oficial de Establecimientos Educativos","Padrón Oficial de Establecimientos Educativos","Secretaría de Educación de la Nación","https://www.argentina.gob.ar/node/246613","2011","2026","Establecimiento educativo","Localización; características; datos de contacto; ofertas educativas","por verificar","Descarga oficial disponible; actualización continua por las Unidades de Estadística Educativa jurisdiccionales","Nomenclador federal. La página publica padrones de abril desde 2011 y el último padrón disponible, actualizado el 16/06/2026.","El formato y el diccionario de variables quedan por verificar. Para comparaciones temporales, considerar que las versiones históricas publicadas corresponden al mes de abril.","Alta","Acceso;Equidad"
"GeoRef Argentina","Bases completas de unidades territoriales de Argentina","por verificar","https://www.argentina.gob.ar/georef/descarga-de-la-base-completa","por verificar","por verificar","Provincias; departamentos; municipios; gobiernos locales; localidades; localidades censales; asentamientos; calles; cuadras","Identificadores oficiales; nombres normalizados; relaciones territoriales; geometrías y centroides según recurso","CSV;JSON;GeoJSON;NDJSON","Descarga pública oficial disponible","Servicio para normalizar unidades territoriales y acceder a bases completas; aporta soporte para mapas y cruces mediante identificadores territoriales oficiales.","Verificar fecha y versión de actualización de cada recurso antes de usarlo. La disponibilidad y el contenido de geometrías pueden variar según el recurso.","Alta","Infraestructura territorial"
"Bases RA agregadas por departamento","2025 Caracteristicas - agregada.csv","Subsecretaría de Información y Evaluación Educativa","https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/IQAR5DtMGXufQ4GWkxAbhQbWAaMz29BSWfoNPrvTA_ppkSo?e=vLzf4X","2025","2025","Departamento; sector de gestión; ámbito","Recursos e instalaciones de la localización","CSV delimitado por punto y coma","Descargada e inspeccionada","1.217 filas; 67 columnas; 24 jurisdicciones; 537 pares de nombres provincia-departamento; 514 unidades GeoRef identificables.","Sin códigos territoriales. Incluye valores Enmascarado que no permiten asignar departamento. Las variables describen agregados y no relaciones causales.","Alta","Acceso;Equidad"
"Bases RA agregadas por departamento","2025 Cargos - agregada.csv","Subsecretaría de Información y Evaluación Educativa","https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/IQDAnhKw3RP9RL0PppxGxfWJATLTfYIcJTHV_4nU3U1tJ1o?e=hGggnc","2025","2025","Departamento; otras desagregaciones por verificar","Composición de cargos y horas docentes cubiertos y no cubiertos","CSV","Disponible en catálogo oficial; no descargada en esta tarea","Edición 2025 confirmada en el catálogo oficial.","Esquema, códigos, cobertura y comparabilidad por verificar mediante inspección del archivo y diccionario.","Media","Acceso;Equidad"
